Concept,Descriptors
ConstAdj1,much other different more like hard slow good long strong nice same least bad actual similar sure low
ConstAdj2,excited anxious uncomfortable annoying weird satisfied
ConstAdj3,constant continuous
ConstAdj4,sweaty sticky
ConstAdj5,smooth super soft
ConstAdj6,little small tiny
ConstAdj7,first last second
ConstAdj8,electrical electric
ConstAdj9,rhythmic
ConstAdj10,slight pleasant light subtle
