Concept,Descriptors
FreeAdj1,light heavy slight subtle intense
FreeAdj2,happy nice rough hard good big last long
FreeAdj3,more much high other same normal different similar
FreeAdj4,fast easy slow
FreeAdj5,electrical electric
FreeAdj6,bad angry weird annoying
FreeAdj7,little small tiny
FreeAdj8,pleasant quiet calm
FreeAdj9,smooth soft
FreeAdj10,constant frequent
FreeAdj11,sticky
