Concept,Descriptors
FreeNoun1,clock pulse
FreeNoun2,surface light glass plate
FreeNoun3,thing one bit time person lot bump stuff way kind place sort
FreeNoun4,object pattern
FreeNoun5,beat sound rhythm
FreeNoun6,movement action
FreeNoun7,phone screen
FreeNoun8,vibration friction
FreeNoun9,skin
FreeNoun10,finger hand fingertip
FreeNoun11,paper
FreeNoun12,feeling sensation emotion
