Concept,Descriptors
ConstNoun1,pattern finger hand head beat action
ConstNoun2,wave pulse rhythm heartbeat
ConstNoun3,screen window glass light
ConstNoun4,vibration surface friction
ConstNoun5,one bit kind way feeling time sense lot attention sort reason thing mind stuff person
ConstNoun6,alarm phone
ConstNoun7,word adjective
ConstNoun8,excitement sensation buzz
ConstNoun9,sound music
