,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
ContNoun1,-0.0612,-0.0667,-0.2711,-0.0081,-0.0001,-0.182,0.1322
ContNoun2,-0.3231,0.0392,0.1316,-0.0855,0.0849,0.1908,-0.0329
ContNoun3,-0.2139,-0.3351,-0.314,0.1063,0.3444,-0.0933,0.1989
ContNoun4,0.1413,0.1574,0.0662,-0.1768,-0.2612,0.1099,-0.2144
ContNoun5,0.3471,0.0911,0.3248,-0.1824,-0.131,-0.1461,-0.1856
ContNoun6,-0.3399,-0.011,0.0191,0.2361,0.11,0.3532,0.1627
ContNoun7,-0.3871,0.0178,-0.1193,0.2088,0.153,0.1927,0.1462
ContNoun8,-0.356,0.2754,-0.1035,0.0963,-0.2228,-0.2821,-0.1118
ContNoun9,-0.0475,-0.1955,-0.3556,0.3152,0.2343,0.0737,0.1825
