,mean_amplitude,rms,pulse_count,std_pulse_dist,zero_count,mean_onset_strength,spectral_centroid
ConstNoun1,0.029,-0.1111,-0.1831,-0.066,-0.0271,-0.2277,0.1184
ConstNoun2,-0.3045,0.0391,0.1574,-0.1041,0.0668,0.1386,-0.036
ConstNoun3,-0.1993,-0.3727,-0.3151,0.11,0.326,-0.1582,0.2042
ConstNoun4,0.1808,0.0966,0.0548,-0.1992,-0.2879,-0.0117,-0.2152
ConstNoun5,0.2838,-0.0574,0.2414,-0.2141,-0.1354,-0.2037,-0.1035
ConstNoun6,-0.3222,-0.0732,0.0011,0.2408,0.1489,0.2734,0.2169
ConstNoun7,-0.3967,-0.0409,-0.1427,0.2331,0.1858,0.1567,0.1881
ConstNoun8,-0.3173,0.2718,-0.0279,0.0579,-0.2492,-0.2606,-0.1488
ConstNoun9,-0.0242,-0.1697,-0.2672,0.2256,0.2745,0.0709,0.2073
